car,model_year,price
Ford Mustang,2022,36000
Honda Civic,2022,25000
Toyota Camry,2022,27000
Chevrolet Camaro,2022,35000
Tesla Model 3,2022,50000
BMW 3 Series,2022,42000
Audi A4,2022,45000
Mercedes C-Class,2022,43000
Hyundai Sonata,2022,24000
Nissan Altima,2022,25000
Kia Optima,2022,29000
Subaru Outback,2022,31000
Mazda CX-5,2022,32000
Dodge Charger,2022,38000
Acura TLX,2022,39000
Lexus ES,2022,41000
Ford Explorer,2022,34000
Volkswagen Passat,2022,30000
Jeep Wrangler,2022,37000
Toyota Highlander,2022,41000
